RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,4,-8500.0,12,1.0,1,1,5.0,4.0,2,None
1,2,4,-8500.0,53,None,1,1,6.0,16.0,2,4.0
1,1,4,-8500.0,17,None,1,1,3.0,18.0,2,None
1,2,4,79246.23066756154,21,1.0,1,1,4.0,16.0,2,4.0
9,1,3,-8500.0,36,None,1,1,6.0,19.0,2,1.0
1,1,4,61202.08503419081,37,None,1,1,3.0,14.0,2,1.0
1,2,4,-8500.0,12,None,1,1,5.0,18.0,2,4.0
1,2,4,-8500.0,13,1.0,1,1,6.0,19.0,2,4.0
1,1,4,94019.09477600564,39,1.0,1,1,None,1.0,2,4.0
1,1,4,203813.6930713512,12,6.0,1,1,6.0,19.0,2,4.0
1,2,4,10550.76964317212,39,1.0,1,1,6.0,18.0,2,4.0
1,2,3,-8500.0,26,None,1,1,4.0,19.0,2,4.0
1,2,2,108856.16587524304,19,2.0,1,1,1.0,22.0,2,4.0
1,1,3,None,48,1.0,1,1,6.0,21.0,2,4.0
1,1,4,-4559.015858956554,44,1.0,1,1,3.0,21.0,2,4.0
9,1,2,64854.86384855755,47,1.0,1,1,1.0,19.0,2,4.0
1,1,4,24988.648367682985,37,1.0,1,1,4.0,19.0,2,4.0
1,1,4,144518.66049594773,12,8.0,1,1,6.0,16.0,2,4.0
1,2,4,-405.9638008966067,39,None,1,1,5.0,20.0,2,4.0
1,1,4,57990.284577239465,53,1.0,1,1,None,21.0,2,4.0
1,2,3,87322.55677349953,48,1.0,1,1,6.0,18.0,2,4.0
1,2,2,19992.356447706203,47,2.0,1,1,1.0,12.0,2,4.0
2,2,4,3101.5163673150746,55,None,1,1,1.0,22.0,1,4.0
1,1,2,90647.16615425018,19,1.0,1,1,6.0,11.0,2,4.0
1,2,4,381.9522180347558,17,1.0,1,1,5.0,18.0,2,4.0
1,1,4,-8500.0,34,1.0,1,1,1.0,18.0,2,4.0
1,1,4,94417.38319972748,17,1.0,1,1,6.0,19.0,2,4.0
2,1,3,31439.568347319386,48,None,1,1,1.0,4.0,2,None
