RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,3,37696.02125539651,42,2.0,1,1,1.0,16.0,2,4.0
4,2,4,None,18,1.0,1,1,1.0,21.0,2,4.0
2,2,4,None,37,1.0,1,1,1.0,18.0,2,4.0
9,1,4,None,1,1.0,1,1,None,14.0,2,4.0
2,1,3,-6428.034206422424,6,None,1,1,6.0,23.0,2,4.0
1,1,4,105045.02338378134,18,1.0,1,1,1.0,18.0,2,1.0
1,1,4,-8500.0,36,None,1,1,6.0,21.0,2,4.0
1,1,4,63048.01037774872,37,None,1,1,None,22.0,2,4.0
1,1,3,82571.8169748869,12,1.0,1,1,1.0,16.0,2,4.0
1,2,3,-8500.0,42,None,1,1,6.0,10.0,1,4.0
1,2,4,None,36,None,1,1,1.0,19.0,2,4.0
1,2,2,None,31,1.0,1,1,1.0,16.0,2,4.0
1,2,4,81765.73152094179,51,1.0,1,1,6.0,18.0,1,4.0
1,1,3,9978.149401075396,17,None,1,1,1.0,16.0,2,4.0
1,1,4,None,36,None,1,2,5.0,18.0,2,4.0
1,2,4,51501.90343771546,37,1.0,1,1,1.0,21.0,2,4.0
1,2,3,None,29,1.0,1,1,1.0,17.0,2,4.0
2,1,4,41976.56987510478,4,None,1,1,6.0,20.0,2,4.0
8,1,3,None,6,1.0,1,1,4.0,22.0,2,4.0
1,1,3,42968.952477047445,17,1.0,1,1,None,21.0,2,4.0
1,1,4,66849.82956991578,4,1.0,1,1,1.0,18.0,2,None
1,1,4,None,36,1.0,1,1,6.0,22.0,2,4.0
6,1,4,-8500.0,36,1.0,1,2,1.0,22.0,2,4.0
1,2,4,44728.76104296682,55,1.0,1,1,None,22.0,2,4.0
1,1,4,39586.49493272234,55,2.0,1,1,None,16.0,2,4.0
2,2,3,98323.15022687044,17,1.0,1,1,6.0,16.0,2,4.0
1,1,3,13523.132118759651,12,None,1,1,6.0,19.0,2,4.0
1,1,3,1803.5033128841387,6,None,1,1,1.0,19.0,2,4.0
1,1,3,93551.60064557934,53,None,1,1,6.0,19.0,2,4.0
1,2,4,-8500.0,45,None,1,1,6.0,22.0,2,4.0
1,2,3,None,6,None,1,1,6.0,4.0,2,4.0
9,2,3,42331.16454723056,47,1.0,1,1,1.0,16.0,2,4.0
4,1,4,47334.28268365421,13,1.0,3,2,1.0,12.0,2,None
1,1,4,27936.54033275976,56,1.0,1,1,6.0,20.0,2,4.0
1,2,9,21694.751271707155,16,None,1,1,1.0,1.0,2,4.0
1,2,4,21197.68091219545,27,1.0,1,1,1.0,16.0,2,4.0
2,1,4,63173.44190391958,13,1.0,1,1,6.0,7.0,2,4.0
9,1,4,-2239.6237179677337,25,2.0,1,1,1.0,21.0,2,None
8,1,3,203408.68326888344,42,8.0,1,1,4.0,21.0,2,4.0
1,1,3,-8500.0,6,None,1,1,6.0,19.0,2,4.0
1,2,4,None,4,None,1,1,None,16.0,2,4.0
1,2,4,-8500.0,23,1.0,3,1,None,17.0,2,4.0
7,1,1,156308.51511094565,15,1.0,1,1,1.0,19.0,2,4.0
1,2,4,53666.24052997432,45,1.0,1,1,1.0,19.0,2,4.0
1,1,4,53025.20228844993,25,None,1,1,4.0,9.0,2,4.0
1,2,3,-8500.0,42,1.0,1,1,1.0,None,2,4.0
9,1,4,20519.96460815425,48,None,1,1,6.0,10.0,2,4.0
1,2,4,57509.85853280621,24,4.0,1,1,None,13.0,2,4.0
1,1,3,None,47,1.0,1,1,6.0,None,2,4.0
1,2,4,None,48,1.0,1,1,1.0,21.0,2,2.0
6,2,3,1663.082670502401,53,None,3,1,6.0,17.0,1,4.0
9,1,2,39357.27204684753,72,1.0,1,1,4.0,1.0,2,4.0
1,1,4,105411.84877275392,48,1.0,1,1,1.0,13.0,2,4.0
1,2,3,134704.40665173062,17,1.0,1,1,6.0,19.0,2,4.0
1,2,4,72176.76761300764,26,1.0,1,1,1.0,22.0,2,4.0
8,1,4,93382.6350124616,36,1.0,1,1,1.0,12.0,2,4.0
9,2,4,53052.33030446644,36,1.0,1,1,4.0,18.0,2,4.0
9,1,4,64903.65758856006,51,None,1,1,None,20.0,2,None
1,2,3,-6231.482481361614,42,1.0,1,1,1.0,20.0,1,4.0
9,2,3,83835.08168715856,53,2.0,1,1,1.0,21.0,2,4.0
1,2,4,None,56,1.0,1,1,1.0,16.0,2,4.0
1,1,3,95146.80991492343,12,1.0,5,1,1.0,21.0,2,4.0
8,1,4,46425.57576482106,26,1.0,1,1,6.0,21.0,2,4.0
6,1,3,-8500.0,12,1.0,1,1,1.0,18.0,2,4.0
2,2,3,82592.79990657495,6,None,1,1,None,18.0,2,None
1,1,4,82638.38324193517,56,8.0,1,1,1.0,16.0,2,4.0
