RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
9,1,4,51158.11180355166,42,1.0,1,1,1.0,16.0,2,4.0
1,1,3,None,39,None,1,1,None,2.0,2,4.0
1,2,4,49639.03470044957,56,1.0,1,1,1.0,21.0,2,4.0
1,1,4,6530.251426938848,56,1.0,1,1,1.0,16.0,2,4.0
9,2,4,134488.24519700898,36,None,1,1,6.0,9.0,2,None
2,1,4,31098.101122214128,27,None,1,1,6.0,1.0,2,4.0
9,2,2,-8500.0,47,None,1,1,4.0,16.0,2,None
1,2,4,39557.64737806853,36,1.0,1,1,None,19.0,2,4.0
1,2,4,127710.8895012005,25,1.0,1,1,6.0,19.0,2,4.0
1,2,2,-8500.0,53,1.0,1,1,None,8.0,2,2.0
1,1,3,107037.5718885439,13,3.0,1,1,1.0,19.0,2,4.0
1,2,4,68295.14528208756,36,1.0,1,1,1.0,19.0,2,4.0
2,2,3,78386.05417860157,13,1.0,1,1,6.0,19.0,2,4.0
1,2,4,133457.00447767193,24,1.0,1,1,6.0,16.0,2,4.0
9,2,3,9688.130390807572,51,1.0,1,2,1.0,18.0,2,4.0
1,2,3,15605.347651438326,48,1.0,1,1,4.0,None,2,4.0
1,1,3,None,28,None,1,1,1.0,22.0,2,None
1,2,3,16514.551359578752,51,1.0,1,1,1.0,18.0,2,4.0
9,2,3,23824.896912537613,37,None,1,1,4.0,18.0,2,4.0
1,2,2,None,53,None,4,1,5.0,19.0,2,4.0
9,2,4,-427.55619688424486,36,1.0,1,1,1.0,21.0,2,4.0
1,1,4,27978.12684238452,21,None,1,1,6.0,22.0,2,1.0
6,1,4,-8500.0,18,1.0,1,1,4.0,19.0,2,4.0
9,2,3,None,39,1.0,1,1,1.0,None,2,4.0
1,2,4,-8500.0,8,1.0,1,1,6.0,19.0,2,4.0
1,1,2,116113.37968159775,5,8.0,1,1,1.0,21.0,2,4.0
1,2,2,11261.689660086267,53,1.0,1,1,4.0,22.0,2,4.0
9,2,2,29169.98756340507,53,1.0,1,1,6.0,18.0,1,4.0
1,1,3,151893.695859339,35,None,1,1,1.0,11.0,2,None
