RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,2,4,-8500.0,42,None,1,1,3.0,4.0,2,4.0
8,1,2,-8500.0,21,1.0,1,1,6.0,20.0,2,4.0
1,2,3,20616.197619031944,37,None,1,1,6.0,21.0,2,4.0
1,1,4,175761.80666612176,31,1.0,1,1,6.0,21.0,2,4.0
1,2,3,-8500.0,37,None,1,1,5.0,20.0,2,4.0
1,2,3,118054.0417468756,37,None,1,1,5.0,4.0,2,4.0
2,2,4,57897.687251314834,42,1.0,1,1,1.0,18.0,2,4.0
1,1,2,-8500.0,40,1.0,1,1,6.0,22.0,2,4.0
1,2,4,None,18,1.0,1,1,1.0,19.0,2,4.0
1,2,4,106977.45558484884,42,1.0,1,1,None,21.0,2,4.0
2,1,4,-8500.0,42,8.0,1,1,5.0,16.0,2,4.0
1,1,3,94624.13206378324,36,None,1,1,2.0,18.0,2,4.0
1,1,4,100448.95774827272,48,None,1,1,6.0,20.0,2,4.0
1,1,4,115982.22346145332,18,1.0,1,1,6.0,21.0,2,4.0
1,1,3,16435.857509499492,37,1.0,1,1,None,13.0,2,4.0
1,1,4,168167.62182883965,18,None,1,1,1.0,8.0,2,4.0
1,1,3,143097.23295047728,13,None,1,1,1.0,21.0,2,4.0
1,1,4,210286.5270970764,48,1.0,1,1,1.0,None,2,None
9,1,3,74195.88812807025,39,1.0,1,1,None,18.0,2,4.0
1,1,3,59284.29813903241,37,8.0,5,1,1.0,16.0,2,4.0
1,1,3,68830.4919034795,36,1.0,1,1,1.0,20.0,2,None
1,2,4,142446.34669530953,42,1.0,1,1,1.0,21.0,2,4.0
2,1,3,72439.87005738818,13,1.0,1,1,6.0,21.0,2,4.0
2,2,4,20713.55267557408,48,1.0,1,1,1.0,16.0,2,4.0
9,1,4,None,42,1.0,1,1,6.0,21.0,2,4.0
9,2,4,-8500.0,47,None,1,1,None,17.0,2,4.0
1,2,4,-8500.0,56,1.0,1,1,6.0,16.0,1,4.0
1,2,4,22396.607870753644,56,8.0,1,1,6.0,13.0,2,4.0
1,2,3,19148.134846402914,36,1.0,1,1,6.0,16.0,2,4.0
2,2,4,35644.56911417021,42,1.0,1,1,1.0,20.0,2,4.0
1,2,2,None,46,1.0,1,1,1.0,18.0,2,4.0
1,1,4,-8500.0,28,None,1,1,6.0,20.0,2,4.0
1,1,3,None,37,None,1,1,None,12.0,2,2.0
1,1,3,30237.47715845696,37,None,1,1,5.0,13.0,2,None
9,2,4,-8500.0,48,None,1,1,6.0,16.0,2,4.0
2,2,4,65995.86526172743,47,1.0,1,1,1.0,22.0,2,4.0
1,2,2,33901.22860441395,40,1.0,1,1,None,24.0,2,4.0
9,1,3,31623.87669737197,37,1.0,1,1,1.0,22.0,2,4.0
9,2,3,-8500.0,39,1.0,1,1,None,19.0,2,4.0
1,1,4,125679.1159484644,42,1.0,1,1,1.0,21.0,2,4.0
2,1,4,106044.24701544328,42,1.0,1,2,6.0,8.0,2,4.0
1,2,4,-8500.0,48,3.0,1,2,1.0,21.0,2,4.0
1,2,4,None,8,1.0,1,1,6.0,22.0,2,4.0
1,1,4,89115.67882434308,47,1.0,1,1,6.0,19.0,2,4.0
1,2,4,116042.51056916772,42,None,1,1,4.0,13.0,2,4.0
1,2,3,None,36,1.0,1,1,None,21.0,2,1.0
1,1,4,2543.729114799935,48,None,1,1,6.0,16.0,2,4.0
1,2,3,-8500.0,36,None,1,1,4.0,15.0,2,None
1,1,3,1432.9305970348432,36,None,1,1,1.0,19.0,2,4.0
1,1,2,4394.574448102947,21,None,1,1,None,10.0,2,None
1,2,4,123813.1904681029,47,1.0,1,1,6.0,19.0,2,4.0
1,2,3,-8500.0,39,None,1,1,None,10.0,2,None
1,2,4,50659.90891907223,48,1.0,1,1,6.0,11.0,2,None
1,2,4,None,8,None,1,1,2.0,9.0,2,4.0
2,1,4,16103.646290839104,47,None,1,1,1.0,None,2,1.0
1,2,3,-556.3179363911186,36,1.0,1,1,1.0,16.0,2,4.0
9,2,4,-8500.0,47,None,1,1,6.0,4.0,2,None
1,2,3,113159.76109272732,37,1.0,1,1,1.0,21.0,2,4.0
8,1,4,15730.125469435356,18,1.0,4,1,None,9.0,2,4.0
2,2,4,None,18,None,1,1,None,8.0,2,4.0
1,1,3,-8500.0,39,1.0,1,1,6.0,22.0,1,4.0
1,2,4,20982.491176750264,10,3.0,1,1,None,22.0,2,4.0
9,1,4,59208.26446172854,48,1.0,1,1,6.0,19.0,2,4.0
2,2,3,None,37,6.0,1,1,None,22.0,2,4.0
1,1,4,24545.61334824511,56,4.0,1,1,1.0,19.0,2,4.0
1,2,4,None,48,None,1,1,1.0,20.0,1,4.0
1,2,4,-8500.0,55,None,1,1,2.0,None,2,4.0
1,1,4,None,42,1.0,1,1,1.0,19.0,2,4.0
1,2,3,83194.26697611233,36,None,1,1,1.0,2.0,2,4.0
1,1,2,3786.519007292525,41,1.0,1,1,6.0,None,2,4.0
1,1,4,None,48,1.0,1,1,1.0,16.0,2,4.0
9,2,3,16224.428044672297,39,None,1,1,6.0,22.0,2,4.0
1,1,4,46267.37336046381,42,1.0,1,1,6.0,22.0,2,4.0
8,1,2,56.19591222491727,41,1.0,1,1,None,17.0,2,4.0
1,1,3,105427.85754007097,36,9.0,1,1,1.0,None,2,4.0
1,1,3,45105.509166885706,36,1.0,1,1,6.0,24.0,2,4.0
8,2,3,6154.631575767657,37,None,1,1,6.0,21.0,2,4.0
1,2,3,53259.49156426243,13,1.0,1,1,1.0,16.0,2,4.0
1,1,4,37558.73297266062,56,None,1,1,1.0,22.0,2,None
1,2,2,47707.98681887447,50,None,1,1,6.0,19.0,2,4.0
1,1,3,None,37,1.0,1,1,6.0,4.0,2,4.0
1,2,4,-8500.0,48,1.0,1,1,6.0,21.0,2,4.0
1,2,4,-8500.0,48,1.0,1,1,None,20.0,2,4.0
1,1,3,67304.00309184339,13,None,3,1,1.0,4.0,1,4.0
1,2,3,77902.06204316743,16,2.0,1,1,6.0,20.0,2,4.0
1,2,3,None,39,2.0,1,1,1.0,21.0,2,4.0
1,2,2,80676.2703927888,9,1.0,1,1,6.0,19.0,2,4.0
1,2,4,-8500.0,48,1.0,1,1,1.0,18.0,2,2.0
1,2,3,11815.371881431856,37,1.0,1,1,1.0,1.0,2,4.0
1,2,3,-8500.0,37,2.0,1,1,1.0,16.0,2,4.0
1,2,1,41564.59424814715,54,1.0,1,1,None,19.0,2,4.0
1,1,3,110385.84550351628,36,None,1,1,6.0,22.0,2,4.0
1,1,4,9551.687851734772,42,8.0,1,1,6.0,16.0,2,4.0
1,2,4,83099.25424612494,31,None,1,1,1.0,7.0,2,None
5,1,4,82956.73695735143,48,1.0,1,1,1.0,20.0,2,4.0
6,2,3,62906.39301830964,39,1.0,1,1,6.0,16.0,2,4.0
2,2,3,10477.727562993505,36,None,1,1,1.0,22.0,2,None
1,1,4,134434.035647337,47,1.0,1,1,1.0,16.0,2,None
8,1,4,35670.55314479671,56,1.0,1,1,None,1.0,2,4.0
1,2,3,62929.97258675168,13,7.0,1,2,1.0,None,2,4.0
9,2,4,103557.46707767717,18,None,1,2,2.0,17.0,2,None
1,2,3,50707.77207514981,36,1.0,1,1,None,19.0,2,4.0
1,1,4,49156.4366689942,48,1.0,5,1,1.0,19.0,2,4.0
1,2,4,None,42,None,1,1,6.0,23.0,2,None
1,2,3,72697.40199647544,36,1.0,1,1,None,18.0,2,4.0
9,1,3,112385.84641300104,37,1.0,1,1,6.0,20.0,2,4.0
1,1,3,None,39,None,1,1,None,17.0,2,4.0
1,1,4,62078.38047318933,47,6.0,1,1,6.0,20.0,2,4.0
1,2,4,56356.01500353534,47,1.0,1,1,None,1.0,2,4.0
8,1,4,70321.47366985086,42,None,1,1,5.0,14.0,2,None
1,1,4,5454.730594114219,15,1.0,1,1,1.0,22.0,2,4.0
1,2,3,124699.58530842607,39,None,1,1,1.0,21.0,2,2.0
2,1,3,39443.599696704514,36,8.0,1,1,6.0,16.0,2,4.0
1,2,4,24505.68036189758,18,None,1,1,6.0,17.0,2,4.0
1,1,4,36231.59004130481,56,None,1,1,6.0,19.0,2,4.0
8,2,3,-3072.8109931898653,36,None,1,1,6.0,22.0,2,4.0
1,1,4,None,55,1.0,1,1,1.0,21.0,2,4.0
1,2,2,93530.5275738618,2,1.0,1,1,4.0,11.0,2,4.0
1,1,2,167595.94268856218,21,8.0,1,1,1.0,4.0,2,4.0
8,2,4,203025.63335131583,48,1.0,1,1,1.0,19.0,2,4.0
8,2,4,1960.5661372919783,42,None,1,1,1.0,19.0,2,4.0
1,1,3,-8500.0,36,None,1,1,6.0,None,2,4.0
1,2,4,-3417.3324497771755,56,1.0,1,1,6.0,11.0,2,4.0
1,1,4,67968.3380052574,48,1.0,1,1,6.0,18.0,2,4.0
1,1,4,135893.63044653178,42,2.0,1,1,6.0,18.0,2,4.0
1,1,3,21164.61383078295,37,None,1,1,4.0,None,1,4.0
1,1,4,16037.185016550064,56,3.0,1,1,1.0,16.0,2,4.0
1,1,2,5740.670764740054,41,None,1,1,6.0,21.0,1,4.0
1,1,3,-8500.0,37,None,1,1,4.0,22.0,2,4.0
1,2,3,59526.47964576572,36,None,1,1,1.0,21.0,2,4.0
2,1,3,40210.544079460895,13,None,1,1,6.0,20.0,2,4.0
1,2,3,-8500.0,13,1.0,1,2,6.0,12.0,2,None
9,1,3,-8500.0,36,1.0,1,1,6.0,19.0,2,4.0
1,2,4,90330.4499778734,42,2.0,1,1,6.0,19.0,2,4.0
1,2,3,8174.33288607547,13,None,1,2,None,19.0,2,4.0
9,1,3,91220.85928171308,13,None,1,1,6.0,21.0,2,None
1,1,3,12787.045339332037,13,None,1,1,1.0,21.0,2,4.0
1,1,4,-8500.0,48,1.0,1,1,1.0,19.0,2,4.0
1,1,3,-8500.0,39,None,1,1,None,None,2,2.0
1,1,4,118334.03711707571,56,8.0,1,1,1.0,21.0,2,4.0
6,2,3,58613.267501460265,13,3.0,1,1,1.0,21.0,2,4.0
1,1,3,-8500.0,35,None,1,1,1.0,20.0,2,4.0
1,2,2,31949.33903832614,21,1.0,1,1,6.0,19.0,2,4.0
4,2,3,118462.29994020474,39,4.0,1,1,1.0,21.0,2,4.0
1,2,4,43009.1838485098,48,3.0,1,1,1.0,16.0,2,4.0
9,2,3,136340.83188492327,36,None,1,1,6.0,16.0,2,4.0
9,2,4,98125.45470317664,48,3.0,4,1,1.0,21.0,2,4.0
2,2,4,120175.17829388913,28,1.0,1,1,6.0,19.0,2,4.0
2,1,3,55818.3382670174,37,1.0,1,1,1.0,14.0,2,None
2,2,4,36493.88754378926,42,None,1,2,1.0,5.0,2,4.0
1,1,4,None,18,None,1,1,6.0,19.0,2,4.0
