RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,4,None,6,2.0,1,1,1.0,21.0,2,4.0
4,2,4,103606.7002772135,17,1.0,1,1,1.0,19.0,2,4.0
2,2,4,None,39,1.0,1,1,6.0,22.0,2,4.0
2,2,4,108445.59948582455,27,1.0,1,1,6.0,16.0,2,4.0
1,1,3,None,42,None,1,1,None,17.0,2,4.0
9,2,3,109280.09894549569,48,1.0,1,1,1.0,18.0,2,4.0
9,2,2,-2813.385869339829,55,None,1,1,5.0,21.0,2,4.0
8,1,3,32590.96959920114,53,1.0,1,1,5.0,21.0,2,4.0
1,1,4,-8500.0,34,1.0,1,1,6.0,1.0,2,4.0
1,2,4,-8500.0,37,1.0,1,1,1.0,21.0,2,None
9,1,3,41828.651402331474,48,None,1,1,6.0,19.0,2,4.0
1,1,4,99308.43706889763,12,None,1,1,1.0,15.0,2,4.0
1,2,3,46984.2206413163,26,None,3,1,1.0,21.0,2,4.0
1,1,3,-8500.0,26,None,1,1,6.0,19.0,1,4.0
1,1,3,14763.954347319785,18,1.0,1,1,6.0,21.0,2,4.0
1,1,3,None,18,1.0,1,1,1.0,13.0,2,4.0
1,2,3,32014.31345273846,8,6.0,1,1,6.0,21.0,2,4.0
1,2,4,98220.18581030174,6,None,1,1,1.0,14.0,2,4.0
1,1,3,97033.71204492186,42,None,4,2,6.0,20.0,2,None
1,2,2,12432.797188521912,56,1.0,1,2,6.0,12.0,2,4.0
1,1,4,-8500.0,6,1.0,1,1,6.0,21.0,2,None
1,1,4,29702.72360224304,37,6.0,1,1,1.0,19.0,2,4.0
1,2,2,38730.782420478245,56,1.0,1,1,None,21.0,2,4.0
9,2,2,88905.97168655705,56,None,1,1,6.0,1.0,2,4.0
1,1,4,118460.80641898734,6,1.0,1,1,6.0,13.0,2,4.0
8,1,4,131856.53897317842,6,1.0,1,1,1.0,22.0,2,4.0
4,1,4,-6421.200112749226,36,1.0,1,1,6.0,20.0,2,4.0
1,1,3,54939.44070150736,42,None,1,1,6.0,22.0,2,4.0
4,2,4,38892.65910290808,34,None,1,1,6.0,1.0,2,None
1,1,3,122064.33488254435,42,1.0,1,1,1.0,22.0,2,4.0
9,1,4,-8500.0,27,3.0,1,1,None,17.0,2,2.0
1,1,4,-8500.0,34,None,1,1,1.0,16.0,1,4.0
6,1,3,-8500.0,26,1.0,1,1,6.0,19.0,2,None
1,1,4,36872.17798905979,6,1.0,1,1,None,22.0,2,4.0
1,2,4,125109.53696382648,25,None,1,1,6.0,22.0,2,4.0
1,2,4,47859.98742508592,39,None,1,1,3.0,1.0,2,4.0
1,1,4,None,37,None,1,1,1.0,18.0,2,4.0
1,2,3,61709.29874739128,48,None,1,1,1.0,21.0,2,4.0
6,1,4,103061.80631934108,22,None,1,1,6.0,4.0,2,4.0
1,1,4,7386.295820635576,39,None,1,1,None,16.0,2,4.0
4,2,3,3957.098070667351,48,1.0,1,1,5.0,19.0,1,4.0
4,2,4,93225.05052670038,36,1.0,1,1,6.0,22.0,2,None
1,1,4,119428.4154059844,36,1.0,1,1,6.0,18.0,2,4.0
1,2,2,37714.38410389525,28,None,1,1,1.0,12.0,1,4.0
1,1,4,25268.542821562914,25,1.0,1,1,1.0,16.0,2,4.0
1,1,3,90469.69816304308,48,1.0,1,1,1.0,1.0,2,4.0
9,1,4,76805.77852932653,30,1.0,4,1,None,22.0,2,1.0
1,2,4,12815.695397379692,37,None,1,1,6.0,19.0,2,4.0
1,2,4,124310.48333775316,27,1.0,1,1,6.0,19.0,2,4.0
2,2,4,-8500.0,25,1.0,1,1,6.0,19.0,2,4.0
4,1,4,None,6,None,1,1,None,19.0,2,4.0
1,1,4,-5647.866502548619,34,None,1,1,None,13.0,2,4.0
1,2,2,25875.35399411456,23,None,1,1,6.0,21.0,2,4.0
1,2,3,61483.65220287083,42,1.0,1,1,1.0,20.0,2,4.0
1,2,3,72677.57174439142,8,1.0,1,1,6.0,17.0,2,None
1,2,3,33368.21246160103,21,1.0,1,1,1.0,18.0,2,4.0
1,1,4,97986.36064974414,36,None,1,1,6.0,2.0,2,4.0
1,2,2,None,29,1.0,1,1,1.0,1.0,2,None
9,2,4,-8500.0,40,None,1,1,4.0,18.0,2,4.0
9,1,3,43240.926666511805,48,1.0,1,1,6.0,22.0,2,None
1,1,3,144481.69950382458,26,1.0,1,1,6.0,16.0,2,4.0
1,1,2,75751.52891698384,29,1.0,1,1,None,18.0,2,4.0
1,2,4,43954.35327302064,39,None,1,1,1.0,20.0,2,None
2,2,4,22581.959637974644,6,None,1,2,6.0,20.0,2,4.0
1,1,4,-5439.934904090405,39,2.0,1,1,1.0,2.0,2,None
