RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
4,1,3,18437.623040805927,36,1.0,1,1,5.0,21.0,1,4.0
1,1,3,83528.15597494236,25,1.0,1,1,1.0,22.0,2,4.0
1,2,4,86011.23329799288,12,1.0,1,1,None,18.0,2,4.0
1,1,3,199078.35892576256,36,1.0,1,1,1.0,21.0,2,4.0
9,2,3,107306.33188570058,13,1.0,5,1,1.0,21.0,2,4.0
6,1,4,39392.8451556826,12,8.0,1,1,1.0,19.0,2,4.0
4,1,3,104663.94364054716,13,4.0,3,2,4.0,20.0,2,4.0
1,1,3,47464.63218062678,13,None,1,1,1.0,12.0,2,4.0
9,1,4,18101.68265259329,12,None,1,1,3.0,20.0,2,4.0
1,1,3,-8500.0,25,None,1,1,1.0,17.0,1,4.0
1,2,3,None,13,1.0,1,1,None,9.0,2,4.0
1,2,4,62238.0108729876,56,1.0,1,1,6.0,18.0,2,4.0
1,1,4,21008.314982951342,29,None,1,1,None,21.0,2,4.0
4,2,4,-8500.0,6,1.0,5,1,1.0,16.0,2,4.0
1,1,3,-8500.0,13,None,1,1,6.0,None,2,None
1,1,4,42790.90350930636,12,1.0,1,1,None,15.0,1,4.0
1,1,3,47139.20658517811,47,1.0,1,1,1.0,12.0,2,4.0
1,1,3,None,25,None,1,1,None,18.0,2,None
8,1,4,None,29,1.0,1,1,1.0,19.0,2,4.0
1,1,3,139693.36045552074,47,1.0,1,1,1.0,22.0,2,4.0
9,1,4,84820.28968279996,6,1.0,1,1,6.0,21.0,2,4.0
9,1,4,75630.26204039453,12,None,1,1,None,17.0,2,4.0
1,2,3,172070.78450571382,26,2.0,1,1,6.0,21.0,1,4.0
1,1,2,3270.5807735226044,16,1.0,1,1,4.0,14.0,2,4.0
2,1,3,-8500.0,42,1.0,1,1,1.0,19.0,2,4.0
1,2,3,None,42,None,1,1,5.0,4.0,2,None
9,1,4,-8500.0,48,None,1,1,6.0,4.0,2,None
9,1,2,None,30,None,1,1,6.0,12.0,2,None
1,2,3,None,13,1.0,1,1,6.0,22.0,2,4.0
