RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,4,None,51,2.0,1,1,None,19.0,2,4.0
9,1,4,None,46,None,1,1,5.0,4.0,2,4.0
2,2,4,-8500.0,12,None,1,1,4.0,13.0,2,2.0
2,1,4,56095.1687628146,12,None,1,1,6.0,13.0,2,4.0
1,1,3,None,26,1.0,1,1,6.0,1.0,2,4.0
1,1,2,95575.68931893924,50,1.0,4,1,1.0,6.0,2,4.0
1,2,3,-8500.0,6,None,1,1,5.0,18.0,2,4.0
2,1,3,56428.53372223005,13,None,1,1,1.0,20.0,2,4.0
1,1,4,16189.495419159824,56,1.0,1,1,6.0,21.0,2,4.0
1,1,2,-2923.4032915965945,16,None,1,1,6.0,15.0,2,4.0
1,2,4,35973.3836787407,34,1.0,1,1,1.0,19.0,2,4.0
1,2,3,-8500.0,26,None,1,1,6.0,22.0,2,4.0
1,2,4,70848.04107054231,12,2.0,1,1,1.0,19.0,2,4.0
1,1,3,None,18,7.0,1,1,1.0,14.0,2,4.0
1,2,4,58856.16383077398,1,1.0,1,1,1.0,21.0,2,4.0
9,2,3,5535.861165758921,6,2.0,1,1,None,22.0,2,4.0
1,2,4,141803.22747352943,24,1.0,1,1,4.0,20.0,2,4.0
1,2,3,37465.95959292713,18,1.0,1,1,1.0,16.0,2,None
1,1,4,116363.41516822678,34,None,1,1,None,4.0,2,2.0
9,2,1,-8500.0,38,None,1,1,4.0,20.0,2,4.0
4,2,4,-8500.0,22,None,1,1,None,5.0,2,4.0
1,2,4,None,34,1.0,1,1,6.0,16.0,2,4.0
1,1,3,-8500.0,6,1.0,1,1,6.0,21.0,2,4.0
9,2,3,-8500.0,6,None,1,1,1.0,21.0,2,4.0
4,1,3,32715.681373322062,6,1.0,1,1,6.0,11.0,2,4.0
9,1,4,55862.17145867381,12,1.0,5,1,1.0,17.0,2,4.0
2,1,3,-8500.0,6,None,3,1,None,13.0,2,4.0
1,2,2,None,72,3.0,1,1,1.0,18.0,2,4.0
1,2,3,81445.52136498809,6,None,3,1,6.0,4.0,2,4.0
1,1,3,6151.764700472777,6,1.0,1,1,6.0,None,2,None
2,1,3,None,26,2.0,1,1,6.0,21.0,2,4.0
1,1,4,13934.860040581134,56,1.0,1,1,1.0,16.0,2,4.0
1,1,4,105752.26438726213,12,1.0,1,1,6.0,None,2,4.0
1,2,3,69311.23383497441,18,None,1,1,1.0,16.0,2,4.0
1,2,4,None,34,1.0,1,1,1.0,20.0,2,4.0
9,1,3,11172.8975368314,5,1.0,1,1,6.0,17.0,2,4.0
1,2,4,17106.00479658249,34,1.0,1,1,6.0,19.0,2,4.0
1,1,4,10775.487128824663,34,None,4,2,6.0,20.0,2,4.0
1,1,3,None,6,1.0,1,1,None,13.0,2,1.0
1,1,4,None,12,1.0,1,1,None,1.0,2,4.0
1,2,4,None,56,None,1,1,1.0,16.0,2,4.0
1,2,4,81412.07371028166,56,8.0,1,1,1.0,16.0,2,4.0
1,1,4,-8500.0,51,6.0,1,1,None,16.0,2,4.0
1,1,3,105615.87418321692,6,None,1,1,6.0,18.0,2,1.0
1,1,4,-540.950537016608,51,None,1,1,None,18.0,2,4.0
1,2,3,-8500.0,6,3.0,1,1,1.0,10.0,2,4.0
1,2,3,34681.25369101149,26,None,1,1,1.0,16.0,2,4.0
1,2,4,None,47,None,1,1,6.0,18.0,2,None
1,2,4,-8500.0,34,1.0,1,1,6.0,16.0,2,4.0
9,2,3,67165.97797069959,6,None,1,1,1.0,21.0,2,None
1,1,4,89600.07574746665,55,1.0,1,1,1.0,16.0,2,None
1,2,3,None,6,3.0,1,1,1.0,21.0,2,4.0
1,2,3,30705.049211808204,6,1.0,1,1,1.0,1.0,2,4.0
1,2,3,59661.16474280914,26,1.0,1,1,6.0,19.0,2,4.0
1,1,4,52763.24293551166,24,1.0,1,1,6.0,16.0,1,None
1,1,3,49722.63809985132,26,1.0,1,1,1.0,19.0,2,4.0
1,2,3,-8500.0,6,1.0,1,1,6.0,16.0,2,4.0
1,1,3,None,6,None,1,1,None,16.0,1,4.0
1,2,3,-8500.0,18,None,1,1,6.0,20.0,2,4.0
1,2,3,None,6,None,1,1,None,17.0,2,None
1,2,4,79992.79210208036,12,None,1,2,6.0,19.0,2,4.0
1,1,4,None,22,None,1,1,5.0,10.0,2,1.0
1,2,3,10905.31753587858,18,None,1,1,1.0,13.0,2,4.0
1,2,4,140918.53213151192,12,3.0,1,1,6.0,16.0,2,4.0
1,2,4,5271.690534005924,34,6.0,1,1,1.0,22.0,1,4.0
1,2,4,-8500.0,24,1.0,1,1,1.0,16.0,2,4.0
1,1,4,None,56,None,1,1,1.0,21.0,2,4.0
1,2,4,42709.84919242682,24,None,1,1,3.0,4.0,1,4.0
1,1,3,77691.87281970156,6,8.0,1,1,1.0,16.0,2,4.0
9,2,4,15165.889538240728,22,None,1,1,None,17.0,2,4.0
9,1,4,107468.30410327837,34,1.0,1,1,1.0,19.0,2,4.0
9,1,4,183352.3184154356,12,8.0,1,1,1.0,21.0,2,4.0
1,1,4,71487.13937641827,34,1.0,1,1,6.0,17.0,2,4.0
1,2,4,None,56,None,1,1,6.0,22.0,2,None
1,2,3,165867.89345386613,6,1.0,1,1,None,21.0,2,4.0
1,2,4,48329.24710032521,22,5.0,1,1,6.0,14.0,2,4.0
1,1,4,None,12,1.0,1,1,None,16.0,2,4.0
9,2,4,14968.32249173414,51,1.0,1,1,6.0,21.0,2,4.0
1,1,3,18550.599841182506,6,8.0,1,1,6.0,16.0,2,4.0
1,2,3,73631.43156822436,41,None,1,1,6.0,19.0,2,4.0
1,1,9,67213.6807380674,44,None,1,1,None,4.0,2,1.0
1,2,4,-8500.0,34,1.0,1,1,5.0,4.0,2,4.0
1,1,3,31061.72371412987,18,1.0,1,1,6.0,18.0,2,4.0
2,1,4,26273.817818938664,34,1.0,1,1,1.0,21.0,1,4.0
1,1,4,-8500.0,51,None,3,2,1.0,20.0,2,None
1,1,4,61267.952726692834,12,3.0,1,1,6.0,16.0,2,4.0
1,2,4,None,24,2.0,1,1,6.0,16.0,2,4.0
1,2,3,43018.00803585564,6,None,1,1,6.0,22.0,2,4.0
