RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,2,3,-8500.0,31,None,1,1,6.0,21.0,2,None
1,2,4,None,5,1.0,1,1,1.0,21.0,2,4.0
1,1,4,40826.53698399059,56,1.0,1,1,1.0,21.0,2,4.0
1,2,4,9206.31202246058,34,1.0,1,1,6.0,19.0,2,4.0
1,2,4,-8500.0,37,None,1,1,None,18.0,2,4.0
1,2,4,76843.97270579418,34,1.0,1,1,1.0,13.0,2,4.0
1,2,3,134533.78699586558,20,None,1,1,6.0,20.0,2,None
1,2,4,152987.8112936619,34,1.0,1,1,6.0,22.0,2,4.0
9,1,4,58785.91613667179,56,7.0,1,1,6.0,21.0,2,4.0
1,1,4,None,56,None,1,1,5.0,20.0,2,4.0
1,1,2,-8500.0,1,None,1,1,None,4.0,2,1.0
9,1,3,-8500.0,13,1.0,1,1,None,20.0,2,4.0
9,1,3,33270.865226715745,18,None,1,1,1.0,4.0,2,None
1,1,4,-8500.0,25,1.0,1,1,None,15.0,2,None
9,1,4,35307.95208089112,26,1.0,1,1,1.0,9.0,1,4.0
1,2,4,-8500.0,12,1.0,1,1,1.0,16.0,2,4.0
1,2,4,54660.276788052885,47,1.0,1,1,6.0,16.0,2,4.0
4,1,3,48357.16957350971,13,8.0,1,2,1.0,12.0,2,4.0
2,1,4,92351.63660331772,12,1.0,1,1,4.0,4.0,2,4.0
1,1,4,169158.24288717515,56,None,1,1,1.0,22.0,2,2.0
1,2,4,None,40,1.0,1,1,None,19.0,2,4.0
1,1,4,-8500.0,32,1.0,1,1,None,19.0,2,4.0
9,2,4,-4501.094588752552,8,None,1,1,None,20.0,2,4.0
1,2,4,-8500.0,26,None,1,1,None,18.0,1,4.0
1,1,3,None,13,1.0,1,1,6.0,20.0,2,4.0
1,2,4,52569.092630234685,47,1.0,1,1,1.0,21.0,2,3.0
1,1,4,105562.45013460194,34,None,1,1,6.0,14.0,2,4.0
1,2,4,None,25,1.0,1,1,6.0,21.0,2,None
4,1,4,None,12,None,1,1,None,4.0,2,4.0
9,1,3,181335.1781023102,18,None,1,1,6.0,3.0,2,None
1,1,4,-8500.0,34,None,1,1,6.0,17.0,2,None
1,2,4,57635.57841733533,40,1.0,1,1,6.0,9.0,2,4.0
1,2,4,70195.97778537495,55,1.0,1,2,1.0,20.0,2,4.0
1,1,2,-8500.0,1,1.0,1,1,1.0,16.0,2,4.0
1,2,4,116520.32502213903,56,None,1,1,6.0,1.0,2,4.0
8,2,3,30368.74872991205,42,1.0,1,1,6.0,19.0,2,4.0
1,1,4,104912.01647619523,6,None,1,1,1.0,14.0,2,4.0
1,2,4,38236.75442221483,16,1.0,1,1,1.0,20.0,2,4.0
1,2,4,94790.53190313636,54,None,1,1,2.0,19.0,2,4.0
