RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,4,86927.57861947178,56,1.0,1,1,6.0,18.0,2,4.0
2,1,4,38285.53211975758,39,None,5,2,4.0,23.0,2,4.0
1,2,4,None,56,None,1,1,6.0,18.0,2,4.0
1,1,3,23673.857606976755,12,None,1,1,4.0,13.0,2,2.0
1,2,3,17469.451941592077,12,1.0,1,1,None,18.0,2,4.0
1,2,4,-8500.0,56,1.0,1,1,6.0,19.0,1,4.0
8,2,4,37618.25707998868,56,None,1,1,6.0,20.0,2,4.0
1,2,4,-8500.0,47,1.0,1,1,4.0,22.0,2,4.0
9,1,3,118840.55183215806,12,1.0,1,1,1.0,19.0,2,4.0
1,2,3,18830.50443824949,12,1.0,1,1,6.0,None,2,4.0
1,2,3,None,35,None,1,1,6.0,18.0,2,4.0
1,2,4,4220.134774107726,38,1.0,1,1,6.0,20.0,2,4.0
1,2,4,-815.1232172080199,25,None,1,1,3.0,21.0,2,4.0
1,1,4,None,6,None,1,1,6.0,23.0,2,None
1,1,3,47912.8965095102,12,None,1,1,None,4.0,2,None
1,1,4,37634.37236371928,39,2.0,1,1,6.0,19.0,2,4.0
1,1,4,None,56,3.0,1,1,1.0,19.0,2,4.0
1,1,4,None,1,None,1,1,4.0,21.0,2,4.0
9,2,4,34113.90493349794,6,2.0,4,1,3.0,15.0,2,4.0
9,1,2,-8500.0,30,1.0,1,1,6.0,14.0,2,4.0
1,1,3,None,37,1.0,1,1,None,18.0,2,4.0
1,2,3,129600.3489565819,24,1.0,1,1,None,22.0,2,4.0
9,1,4,89913.68449179835,39,None,1,1,None,9.0,2,4.0
1,1,3,159202.1887790216,17,1.0,1,1,None,4.0,2,4.0
1,2,4,212258.3995259805,42,1.0,1,1,1.0,20.0,2,4.0
1,2,3,None,53,None,1,1,1.0,19.0,2,4.0
1,2,4,-8500.0,26,1.0,1,1,6.0,20.0,2,4.0
1,2,4,17374.793694170177,6,None,1,1,6.0,16.0,2,4.0
9,2,3,31365.07344281792,24,1.0,1,1,1.0,1.0,2,4.0
1,1,4,111158.94956018482,6,1.0,1,1,1.0,22.0,2,4.0
1,1,4,12637.430381488755,56,None,1,1,6.0,14.0,2,4.0
1,2,4,-8500.0,39,None,1,1,6.0,20.0,2,4.0
1,2,4,-8500.0,29,1.0,1,1,None,20.0,2,4.0
1,1,4,131995.73662364422,9,1.0,1,1,None,21.0,2,4.0
9,1,4,-8500.0,42,1.0,1,2,6.0,1.0,2,4.0
9,2,4,-8500.0,26,None,1,1,5.0,18.0,2,None
9,1,4,108582.1920501467,55,None,1,1,1.0,20.0,2,1.0
2,2,4,-8500.0,26,None,1,1,1.0,20.0,2,4.0
1,1,3,None,37,3.0,1,1,1.0,1.0,2,4.0
2,2,4,-8500.0,6,1.0,1,1,1.0,21.0,2,4.0
1,1,3,None,24,1.0,1,1,6.0,1.0,1,4.0
1,2,4,-8500.0,56,1.0,1,1,1.0,22.0,2,4.0
1,1,4,99744.7276928703,20,None,1,1,1.0,22.0,2,4.0
1,1,4,80850.80687560258,39,None,1,1,None,21.0,2,4.0
1,1,4,1489.9273148535867,26,None,1,1,6.0,22.0,2,None
2,2,4,77483.13803809992,29,None,1,1,5.0,15.0,2,None
1,1,4,87379.31064556981,4,7.0,1,1,6.0,16.0,2,4.0
1,1,4,8433.985984823448,15,1.0,1,1,1.0,24.0,2,4.0
1,1,4,60465.0188256774,26,None,1,1,1.0,22.0,2,4.0
8,2,3,None,53,1.0,1,1,None,1.0,2,4.0
1,2,4,-8500.0,56,None,1,1,6.0,4.0,2,4.0
1,2,3,-8500.0,17,None,1,1,6.0,24.0,2,None
1,2,2,51572.59881116503,41,None,1,1,1.0,20.0,2,4.0
1,2,3,-8500.0,12,None,1,1,4.0,20.0,2,4.0
1,1,4,None,6,None,5,1,6.0,4.0,2,4.0
1,1,4,-8500.0,42,1.0,1,1,5.0,18.0,2,4.0
1,2,2,None,41,1.0,1,1,6.0,21.0,2,4.0
1,2,4,18056.82043748424,39,1.0,1,1,None,21.0,2,4.0
1,1,3,32236.80587111275,12,None,1,1,4.0,None,2,4.0
9,2,4,96344.13837904006,2,8.0,1,1,None,19.0,2,4.0
1,2,3,109720.36813130524,12,1.0,1,1,1.0,21.0,2,4.0
1,2,3,4710.088783786188,53,1.0,1,1,1.0,22.0,1,4.0
1,1,3,39124.19673879122,53,None,1,1,4.0,22.0,2,4.0
2,2,3,11748.86373980008,12,None,1,1,1.0,19.0,2,4.0
1,1,4,-8500.0,56,None,1,1,6.0,4.0,2,4.0
1,2,2,74325.74681963203,41,2.0,1,1,None,21.0,2,4.0
9,1,3,65886.14044189776,53,3.0,1,1,None,16.0,2,4.0
1,1,4,76735.37265121794,56,None,1,1,1.0,19.0,2,4.0
8,1,4,113608.99254431268,6,1.0,1,1,5.0,23.0,2,2.0
1,1,4,141467.90316243353,6,1.0,1,1,1.0,19.0,2,4.0
1,1,3,143007.35737274328,24,1.0,1,1,1.0,16.0,2,4.0
1,1,3,69854.92375429993,37,1.0,1,1,6.0,4.0,2,4.0
1,1,4,12067.62082907022,25,None,1,1,6.0,9.0,1,None
1,1,4,None,6,None,1,1,6.0,23.0,2,None
1,2,4,44698.80682143734,4,None,1,1,1.0,13.0,2,4.0
6,1,4,-8500.0,6,1.0,1,1,6.0,20.0,2,None
1,1,4,-8500.0,4,None,1,1,1.0,13.0,2,4.0
1,1,3,48868.32361819153,40,None,1,1,1.0,21.0,1,2.0
1,1,4,None,6,1.0,1,1,4.0,16.0,2,4.0
1,2,4,-8500.0,42,None,1,1,6.0,18.0,2,4.0
1,1,4,96889.1235547296,26,1.0,1,1,3.0,16.0,2,4.0
1,1,3,None,37,1.0,1,1,4.0,21.0,2,4.0
9,1,3,-8500.0,12,1.0,1,1,6.0,11.0,2,4.0
1,1,3,151802.43360306672,24,1.0,1,1,6.0,22.0,2,None
1,2,4,-8500.0,39,1.0,1,1,6.0,22.0,2,4.0
1,1,4,-8500.0,42,1.0,1,1,1.0,19.0,2,4.0
9,2,4,55393.09368659448,39,None,1,1,None,21.0,2,4.0
1,1,4,85370.08194037894,25,None,1,1,6.0,3.0,2,4.0
1,2,3,-8500.0,40,None,1,1,1.0,21.0,2,4.0
1,2,4,14231.033787584003,47,1.0,1,1,6.0,21.0,2,4.0
9,2,4,None,9,1.0,1,1,6.0,21.0,2,4.0
1,2,4,113940.78175441416,4,1.0,1,1,6.0,22.0,2,4.0
1,2,1,None,10,None,1,1,4.0,19.0,2,4.0
1,2,3,None,17,8.0,1,1,1.0,17.0,2,4.0
1,2,3,27664.420103206623,12,None,1,1,6.0,21.0,2,4.0
1,2,3,None,17,None,1,1,6.0,9.0,2,4.0
1,1,3,-460.8837199749614,17,None,1,1,6.0,22.0,2,4.0
1,2,4,61557.00179462133,56,8.0,1,1,None,16.0,2,4.0
1,2,4,14523.453425891646,26,1.0,1,1,6.0,23.0,2,4.0
1,2,4,4728.113868738408,6,None,1,1,None,21.0,2,4.0
1,2,3,47519.03279400496,37,1.0,1,1,6.0,1.0,2,4.0
6,2,4,52300.04042002738,6,2.0,1,1,None,22.0,2,4.0
9,2,3,-8500.0,37,None,1,1,None,4.0,2,4.0
1,2,4,52314.26870342811,4,1.0,1,1,1.0,18.0,2,4.0
8,2,4,56999.546835501606,6,None,1,1,1.0,16.0,2,4.0
1,2,3,-8500.0,44,None,1,1,1.0,1.0,1,4.0
1,1,4,-8500.0,4,1.0,1,1,6.0,1.0,2,4.0
1,2,4,75351.5804148526,56,1.0,5,1,None,20.0,2,4.0
1,2,4,-8106.55660712783,6,1.0,1,1,6.0,17.0,2,4.0
2,2,3,18997.10329777361,12,1.0,1,1,None,10.0,2,4.0
1,2,4,-8500.0,6,1.0,1,1,1.0,3.0,2,None
1,1,3,66926.03702595679,12,1.0,1,2,6.0,8.0,2,1.0
1,1,4,59757.84017799866,55,2.0,1,1,6.0,22.0,2,4.0
1,1,4,82195.7249850177,42,1.0,1,1,6.0,22.0,2,4.0
1,2,4,15211.534245287708,56,None,1,1,1.0,5.0,2,4.0
1,1,4,81363.02086640455,55,2.0,1,1,6.0,4.0,2,2.0
1,2,4,113319.72306563778,55,1.0,1,1,1.0,18.0,2,4.0
1,1,3,None,33,1.0,1,1,1.0,20.0,2,None
8,2,4,None,39,1.0,5,1,1.0,1.0,2,4.0
9,1,3,152063.79369484636,37,1.0,1,1,1.0,21.0,2,4.0
1,2,4,20359.09454382149,26,None,1,1,1.0,22.0,2,4.0
1,2,4,-8500.0,39,1.0,1,1,1.0,1.0,2,None
1,1,4,None,39,2.0,1,1,5.0,19.0,2,4.0
8,1,3,105134.5169928912,17,None,1,1,4.0,14.0,2,None
1,2,3,9851.691753548715,16,None,1,1,6.0,17.0,2,4.0
9,1,4,93235.5792254408,47,1.0,1,1,None,22.0,2,4.0
9,2,3,211452.15481028467,12,1.0,1,1,1.0,16.0,2,4.0
1,2,4,-8500.0,26,None,1,1,6.0,16.0,2,4.0
1,1,3,41158.97329468869,53,1.0,1,1,1.0,19.0,2,4.0
1,1,4,None,47,6.0,1,1,6.0,19.0,2,4.0
9,1,4,156265.96928778305,39,1.0,3,1,6.0,3.0,2,4.0
9,1,4,None,6,1.0,1,1,6.0,1.0,2,None
1,2,3,None,12,1.0,1,1,4.0,18.0,2,4.0
1,1,3,108364.42656885588,12,7.0,1,1,1.0,20.0,2,4.0
1,2,4,88924.85537349767,39,1.0,1,1,None,23.0,2,4.0
2,1,4,131965.20459081483,4,None,1,1,6.0,21.0,2,None
1,2,4,-8346.165255203923,4,None,1,1,6.0,21.0,2,4.0
1,2,4,47563.31622390426,25,None,1,1,1.0,22.0,2,4.0
2,2,3,1297.2142671241018,53,None,1,1,6.0,22.0,2,4.0
2,2,4,-8500.0,42,1.0,1,1,None,21.0,2,4.0
1,1,4,134451.06011717327,39,None,1,1,6.0,11.0,2,4.0
1,1,4,59485.10513088353,9,1.0,1,1,6.0,21.0,2,4.0
6,1,4,66400.12821999873,29,1.0,1,1,6.0,16.0,2,4.0
4,2,4,27988.540985369887,47,None,4,1,6.0,13.0,2,4.0
1,1,4,163539.03426351055,26,1.0,1,1,1.0,16.0,2,None
