RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,3,55441.83233624584,36,None,1,1,1.0,18.0,2,4.0
1,1,4,57682.83521567877,1,1.0,1,1,1.0,20.0,2,None
1,2,3,14499.01341458232,27,1.0,1,1,6.0,16.0,2,4.0
1,2,4,-8500.0,37,None,1,1,6.0,4.0,2,None
1,2,4,21190.0869471327,20,1.0,1,1,None,19.0,2,4.0
1,2,4,38514.1381546656,39,1.0,1,1,6.0,15.0,2,4.0
1,1,1,-8500.0,44,None,1,1,1.0,18.0,2,4.0
1,1,4,114016.2700246768,17,1.0,1,1,1.0,13.0,2,4.0
1,2,4,-8500.0,17,None,1,1,6.0,19.0,2,None
1,1,3,-8500.0,36,None,1,1,None,18.0,2,4.0
1,1,3,47732.35172003554,29,1.0,1,1,1.0,24.0,2,4.0
1,1,4,7509.264472077477,56,None,1,1,5.0,16.0,1,4.0
1,1,4,34488.25669091738,45,1.0,1,1,1.0,21.0,2,4.0
1,1,4,17310.19702147953,17,1.0,1,1,6.0,20.0,2,4.0
1,1,4,70439.13871923537,39,1.0,1,1,4.0,20.0,2,4.0
9,2,3,69821.1292370891,36,None,5,1,2.0,12.0,2,4.0
8,2,3,-8500.0,28,None,1,1,6.0,20.0,2,4.0
1,2,4,-8500.0,56,1.0,1,1,6.0,21.0,1,4.0
9,2,3,32613.67100470198,36,None,1,1,None,10.0,2,4.0
1,2,3,63988.49060896287,27,None,1,1,1.0,20.0,2,4.0
1,2,4,-8500.0,37,None,1,1,6.0,19.0,2,2.0
6,1,3,-8500.0,36,None,1,1,1.0,20.0,2,4.0
1,1,4,150973.5939698206,39,None,1,1,5.0,4.0,2,None
9,1,4,108506.78474365464,48,None,1,1,1.0,20.0,2,4.0
1,2,3,45571.09973378075,28,3.0,1,1,None,20.0,2,4.0
1,1,3,66864.7533620047,32,4.0,1,1,6.0,16.0,2,4.0
1,2,3,123305.77243490829,47,1.0,1,1,6.0,19.0,2,4.0
9,2,3,66246.06740828673,36,None,1,1,None,4.0,2,1.0
9,1,4,25594.037562675538,17,1.0,1,1,5.0,4.0,2,4.0
1,2,3,9164.303230659578,27,8.0,1,1,6.0,19.0,2,None
1,2,4,91715.74848323228,17,1.0,1,1,6.0,12.0,2,None
8,2,4,2635.815238075709,37,1.0,1,1,1.0,19.0,2,4.0
